gnd,pctile,year,le_raceadj
F,81,2014,88.20
F,82,2001,86.96
F,82,2002,86.87
F,82,2003,85.53
F,82,2004,86.59
F,82,2005,88.37
F,82,2006,86.53
F,82,2007,87.47
F,82,2008,87.71
F,82,2009,86.54
F,82,2010,87.52
F,82,2011,89.01
F,82,2012,89.30
F,82,2013,89.60
F,82,2014,88.85
F,83,2001,84.50
F,83,2002,86.22
F,83,2003,85.68
F,83,2004,86.45
F,83,2005,85.78
F,83,2006,87.36
F,83,2007,87.45
F,83,2008,87.76
F,83,2009,89.03
F,83,2010,87.40
F,83,2011,88.50
F,83,2012,88.79
F,83,2013,87.89
F,83,2014,89.43
F,84,2001,85.49
F,84,2002,86.99
F,84,2003,86.88
F,84,2004,87.71
F,84,2005,87.63
F,84,2006,87.15
F,84,2007,87.69
F,84,2008,87.92
F,84,2009,87.83
F,84,2010,87.86
F,84,2011,88.72
F,84,2012,89.32
F,84,2013,87.59
F,84,2014,88.30
F,85,2001,84.86
F,85,2002,87.17
F,85,2003,85.99
F,85,2004,86.62
F,85,2005,86.98
F,85,2006,86.75
F,85,2007,87.61
F,85,2008,88.87
F,85,2009,88.57
F,85,2010,89.43
F,85,2011,87.51
F,85,2012,88.54
F,85,2013,88.77
F,85,2014,88.83
F,86,2001,86.56
F,86,2002,86.14
F,86,2003,85.95
F,86,2004,88.33
F,86,2005,86.67
F,86,2006,87.37
F,86,2007,89.02
F,86,2008,87.66
F,86,2009,88.48
F,86,2010,87.98
F,86,2011,89.06
F,86,2012,89.09
F,86,2013,88.88
F,86,2014,89.94
F,87,2001,85.57
F,87,2002,88.25
F,87,2003,86.64
F,87,2004,86.98
F,87,2005,86.43
F,87,2006,87.53
F,87,2007,87.28
F,87,2008,88.78
F,87,2009,88.21
F,87,2010,88.92
F,87,2011,89.25
F,87,2012,89.54
F,87,2013,88.48
F,87,2014,89.26
F,88,2001,86.15
F,88,2002,85.54
F,88,2003,86.33
F,88,2004,87.42
F,88,2005,87.46
F,88,2006,87.58
F,88,2007,87.62
F,88,2008,87.81
F,88,2009,87.18
F,88,2010,89.43
F,88,2011,88.42
F,88,2012,89.12
F,88,2013,88.17
F,88,2014,88.99
F,89,2001,87.30
F,89,2002,86.28
F,89,2003,87.03
F,89,2004,88.44
F,89,2005,88.49
F,89,2006,87.90
F,89,2007,88.71
F,89,2008,87.81
F,89,2009,87.25
F,89,2010,88.53
F,89,2011,88.71
F,89,2012,88.11
F,89,2013,89.34
F,89,2014,90.17
F,90,2001,86.60
F,90,2002,86.37
F,90,2003,86.41
F,90,2004,87.39
F,90,2005,87.84
F,90,2006,87.62
F,90,2007,86.94
F,90,2008,88.28
F,90,2009,87.93
F,90,2010,88.41
F,90,2011,87.97
F,90,2012,87.67
F,90,2013,88.55
F,90,2014,88.99
F,91,2001,86.99
F,91,2002,86.59
F,91,2003,87.50
F,91,2004,86.52
